station,window_start,window_end,amb_resets,cn0,code_wrms,h_conv,mp1,mp2,mp5,mw12,mw15,mw25,phase_wrms,satellite_gaps,uptime,v_conv,score,rank
ALIC,2019-01-01,2025-12-31,0.9454988808187977,0.8025318065817548,0.6614139728040288,0.8886585035538495,0.23031684039025038,0.31766249405537356,0.33663944245348965,0.34486720286750033,0.39937165197520536,0.4915916184033924,0.6081506973312976,0.4469461208370197,0.9495502542041455,0.8550964542666323,0.7134797159068412,63
SYOG,2019-01-01,2025-12-31,0.7508731341959111,0.9082452190207182,0.6137533952455703,0.8554665622537333,0.21688311464659663,0.23980572677595244,0.18181806976387765,0.37744024734323883,0.32645352933907684,0.5428037034259129,0.7236639638758298,0.2643714309103189,0.8947985921001174,0.8484857703481739,0.7092076434375827,64
CPVG,2019-01-01,2025-12-31,0.7979670323554086,0.8443513212459751,0.6607414618491818,0.8001707865168539,0.47810135875286824,0.4166556967249601,0.33782256962419627,0.2201111574621431,0.27855043687564374,0.36686893820636135,0.6546398760988249,0.47151660012813434,0.986312084473993,0.8166103448275862,0.7073669130023916,65
CAS1,2019-01-01,2025-12-31,0.45352485602987463,0.9016685704126959,0.6668687513282987,0.862204071478917,0.39808041535968436,0.3268339342640629,0.21084787828402365,0.3647106182080387,0.3497941555526637,0.19087268602316027,0.8653434345848887,0.7906702034686472,0.9624560031286664,0.8416924686488244,0.7071644346962447,66
UFPR,2019-01-01,2025-12-31,0.8976268410661056,0.9005480288004982,0.4719789770589413,0.876469715097921,0.42931633404594866,0.3770624512946896,0.3075640638420581,0.31245548665538453,0.3334042031732632,0.392291697283166,0.627701288642379,0.5291996146058111,0.9855299178725069,0.8572961817730046,0.7051184420641697,67
BRST,2019-01-01,2025-12-31,0.9192485277231569,0.9065026275664702,0.5751021762095483,0.883447255938103,0.4793308826815255,0.406430713619513,0.32209372712464374,0.315094594463492,0.36658815428274666,0.4515325845258287,0.6137864042736018,0.3620297650881078,0.9831834180680485,0.8768023191454032,0.7038811913883571,68
CZTG,2019-01-01,2025-12-31,0.9158972973183516,0.9019936593001648,0.7096266469866293,0.8687555137613789,0.6030637922333691,0.6938183545136044,0.6935303312873603,0.29298127943481306,0.6783860838938955,0.7556941361442059,0.6202644273115913,0.18156553740632264,0.9151349237387564,0.8511647972389992,0.7037435836155591,69
PIE1,2019-01-01,2025-12-31,0.7889285270270945,0.7997199195073804,0.3585591484748958,0.8841095976398217,0.829428006747004,0.5161815799404972,0.33415671502926564,0.7518654247987124,0.5116214116526775,0.6207984297432623,0.7573385362258829,0.15526153285011535,0.9851388345717638,0.8705933346176075,0.701093479530489,70
WTZR,2019-01-01,2025-12-31,0.9529050661129318,0.9901987916192558,0.66153665079679,0.8555488059026454,0.24621629027115463,0.18323845999807248,0.19308105270519677,0.3827924720566285,0.2760849464983321,0.5118303703402847,0.5981440557633104,0.2879014497989507,0.9996089166992569,0.8457291184715456,0.6997135686684766,71
TRO1,2019-01-01,2025-12-31,0.7221230872359573,0.9023999811065201,0.5778991015819711,0.875029668474391,0.3323415578148001,0.3912493751104355,0.3622185977816464,0.12237155748032971,0.11468251075675015,0.5154921391293552,0.7019197454573026,0.31328381430246854,0.9898318341806804,0.862914198540427,0.6993183296080002,72
