station,window_start,window_end,amb_resets_no_kf,cn0,mp1,mp2,mp5,mw12,mw15,mw25,satellite_gaps,uptime,score,rank
RIGA,2019-01-01,2025-12-31,0.9434061574492122,0.9654702665800907,0.10042005044187823,0.30326063492789007,0.28228484151986416,0.4230422162818877,0.501746286119305,0.45156434830023406,0.24982048577962623,0.9835745013687915,0.5147794069267677,78
RDSD,2019-01-01,2025-12-31,0.9270726253038505,0.8942502560520157,0.40892192335335686,0.4681658318279822,0.42085351816564637,0.16067609590262694,0.23276986949296663,0.3992660471732053,0.30098777507168484,0.9698865858427845,0.5138189398335452,79
MATE,2019-01-01,2025-12-31,0.938286831635407,0.9793835194239695,0.2925328958559583,0.2526285104915827,0.28163004730587116,0.38510390095010766,0.288430432236204,0.430251893582242,0.34219990355548613,0.9820101681658193,0.5127117947709747,80
ASCG,2019-01-01,2025-12-31,0.8420410251223441,0.8931203963639422,0.5109854446287392,0.39477305998983353,0.3330501758798872,0.2159203913446373,0.30594496342839334,0.39141280684472723,0.30882535269736366,0.9644114196323818,0.5125734173893728,81
WILL,2019-01-01,2025-12-31,0.9448576682883724,0.8803751120597928,0.2634636624381415,0.2036115146956177,0.19541194838193787,0.327750164723039,0.27825958060595224,0.6086713130073989,0.852456133628811,0.6096988658584278,0.5124512249390252,82
AJAC,2019-01-01,2025-12-31,0.9593472715675573,0.9518623349037284,0.1517449838113064,0.2300121306234204,0.24761033068556598,0.39739672698059103,0.3735497970948501,0.459256437899794,0.5041036713268238,0.8893234258897145,0.5122512998191128,83
GRAZ,2019-01-01,2025-12-31,0.9590580164134981,0.8721509852375058,0.25696912633281427,0.23663746251830853,0.252589368966024,0.3274280704813087,0.3194889145650441,0.5415766823834978,0.40177089002494304,0.9964802502933124,0.5122240915320837,84
YEBE,2019-01-01,2025-12-31,0.9250012975836853,0.9449207876847178,0.16902148305032172,0.2925836874743882,0.402248765153292,0.281648189826423,0.3222527138121438,0.39365186196728014,0.43680569483715237,0.9886585842784513,0.5116237932059128,85
SULP,2019-01-01,2025-12-31,0.9171223841931209,0.944606003611863,0.4505479947331289,0.4886465711582755,0.37901568156261783,0.26513906133539733,0.21966603356951747,0.46291608694502656,0.43587650453701066,0.5627688697692609,0.5104186930491731,86
CCJ2,2019-01-01,2025-12-31,0.856317289004293,0.8928535118065267,0.5003959178928323,0.4907994849551404,0.40900402203540426,0.15324847758785143,0.27895198770471796,0.37521911766403115,0.1862831087289898,0.986703167774736,0.509806690869691,87
MELI,2019-01-01,2025-12-31,0.9364010374840337,0.9752915347273129,0.15824151469311104,0.2669670344796308,0.28771964886966955,0.32811604384328674,0.34954346837634476,0.40137873089182885,0.46689541005235746,0.95267892061009,0.5090630912669916,88
XMIS,2019-01-01,2025-12-31,0.801303290797503,0.8583374545884985,0.4397860961701113,0.4101383810510759,0.33912051972879204,0.29891169926939276,0.3213723383646331,0.38854992028789714,0.3862083453009486,0.8611654282362143,0.5087879770624917,89
KIRI,2019-01-01,2025-12-31,0.8533243482569001,0.850776632179631,0.3895786776592655,0.472598489540762,0.4517450380552525,0.21716764275312261,0.2817688093859269,0.3323522558636212,0.3878192602295004,0.8705514274540477,0.5087751501934222,90
DYNG,2019-01-01,2025-12-31,0.9436523715335453,0.9056538070490452,0.28653538531614536,0.3333121015318479,0.3827441172472882,0.1908387726186114,0.19423968534672617,0.41137683380886364,0.5725972649651165,0.8947985921001174,0.5087541872774424,91
DJIG,2019-01-01,2025-12-31,0.887709390284016,0.8687268675701512,0.2988128669132043,0.3284897131842622,0.36723646753189804,0.20938515177487133,0.24738772109597712,0.3992564099463376,0.5377352001435275,0.9667579194368401,0.5085753053991934,92
SAVO,2019-01-01,2025-12-31,0.8667566071564587,0.8860934066263838,0.36833181906238893,0.33898149445355646,0.290295191742154,0.307791666737919,0.3159258492040015,0.4110586623168772,0.40868062916573467,0.8955807587016035,0.5071855864645542,93
DARW,2019-01-01,2025-12-31,0.8575488882963344,0.7150178278085636,0.2950816977046394,0.3482150065519815,0.3662880054047931,0.36407119771202695,0.3629145673199315,0.44460490244222944,0.3518090162652504,0.9765350019554165,0.5067376174500628,94
PARC,2019-01-01,2025-12-31,0.9405170088668622,0.9142583447941568,0.4489277597168612,0.5066988104805449,0.3921662552063689,0.19693069372143313,0.3127627191134598,0.5592301372669237,0.6079084523776781,0.19554165037152912,0.5060160381507001,95
POVE,2019-01-01,2025-12-31,0.8624207340415044,0.8762997500200621,0.342888360368697,0.353937574823652,0.3136990477850211,0.32091437408674156,0.3073203427338794,0.41530065324621657,0.3451353341472062,0.9296050058662495,0.5053789252906958,96
ALBH,2019-01-01,2025-12-31,0.9473022653018189,0.8883499801588445,0.3134170339812748,0.20664701813344116,0.2028130824345587,0.3484785321859459,0.2720494650151923,0.5190722991225825,0.37105658199446534,0.9992178333985139,0.5050284272689345,97
AIRA,2019-01-01,2025-12-31,0.8916189346611945,0.9070281543796875,0.54767353091074,0.476278863569099,0.3840717530398987,0.17319595564749268,0.2887435718436773,0.3312799978001807,0.07651575670969224,0.9925694172858819,0.5050174152135803,98
BOAV,2019-01-01,2025-12-31,0.8548435287847601,0.8576547870693061,0.40836726145032004,0.39185546280348516,0.32674945728132604,0.28537866195634554,0.3258600773748003,0.38545994121870464,0.31430696267450076,0.8947985921001174,0.5036705752343561,99
MCIL,2019-01-01,2025-12-31,0.8420340923868284,0.8970221427497527,0.5246451627525422,0.466473762951243,0.3492688718654755,0.20329388492320166,0.31406233493364305,0.24873660423066687,0.2062850005417165,0.9941337504888541,0.5034656451384661,100
MIKL,2019-01-01,2025-12-31,0.9339069812231509,0.9705150710566629,0.18956051353019665,0.26755819732531544,0.3073880285414247,0.4117999791224077,0.39509443779290687,0.45733770735506984,0.1257017421954164,0.9882675009777082,0.5033701847601079,101
CHPI,2019-01-01,2025-12-31,0.9091407728078019,0.854818992950955,0.2884956682961225,0.3202811412986094,0.346253966248711,0.16283397160522586,0.24869002292171985,0.516902435793045,0.45840433960838445,0.9358623386781384,0.5031939929471745,102
TOPL,2019-01-01,2025-12-31,0.8479942577088643,0.8798705917648504,0.3592484026791224,0.3736708415515998,0.30893656064465264,0.29435282592049034,0.3085865056675072,0.36269690912921887,0.35224633530432803,0.9483770043019163,0.5028481332217696,103
HKSL,2019-01-01,2025-12-31,0.8677687437499471,0.9542768295236839,0.20863486078276886,0.28309324175667283,0.32286255161674515,0.27434914600955895,0.26397681367687004,0.4628385624987171,0.4271642404613789,0.9714509190457568,0.5027253996856826,104
REUN,2019-01-01,2025-12-31,0.9377273090071159,0.8796561021409132,0.2502865907622209,0.2851263149675522,0.31455033206356603,0.3408452116181211,0.36700079513434103,0.3887083586579298,0.27478849671829975,0.9878764176769652,0.5019987857610708,105
CIBG,2019-01-01,2025-12-31,0.8529992613945145,0.8775664609491405,0.5165951081662566,0.4255120901916588,0.3573667302404863,0.23303344767836043,0.3242256089389801,0.42105505718949193,0.08557633687735355,0.9288228392647634,0.5017462880181519,106
WTZR,2019-01-01,2025-12-31,0.9524622312637939,0.9901975614398338,0.24616255776454288,0.1832134676971981,0.1931077566997509,0.38284242994588347,0.2760286164216813,0.5117381281334106,0.2879014497989507,0.9996089166992569,0.5016324675242991,107
