Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
EUR200CAN,CA,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL,79.98894722222222,-85.93759166666668,28.9,78804.76,-1109590.47,6259356.93,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,40153M002,EXTERNAL RUBIDIUM,Natural Resources Canada,1
FAA100PYF,PF,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,-17.55531388888889,-149.61430000000001,12.35,-5247393.111,-3076867.223,-1911521.528,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",CDDIS,92201M012,INTERNAL,ESA/ESOC,1
FAIR00USA,US,SEPT POLARX5,ASH701945G_M,JPLA,GPS+GLO+GAL+BDS+QZSS,64.97799833333332,-147.49923958333332,319.1771,-2281621.7717,-1453595.9493,5756961.9444,,"IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL (ODC-Operational Data Center),40408M001,INTERNAL,Jet Propulsion Laboratory,1
FALK00FLK,FK,SEPT POLARX5,ASH701945E_M,SCIT,GPS+GLO+GAL+BDS,-51.69365222222222,-57.87406736111111,50.8407,2106811.344,-3355170.6666,-4981786.3348,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",JPL (ODC-Operational Data Center),80602M001,INTERNAL,Jet Propulsion Laboratory,1
FFMJ00DEU,DE,JAVAD TRE_3S DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,50.090580555555555,8.664969444444445,178.3,4053455.7,617729.9,4869395.9,ROBOT,"IGS, RTS, IGS Multi-GNSS",BKG,14279M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,1
FLIN00CAN,CA,SEPT POLARX5,NOV750.R4,NOVS,GPS+GLO+GAL,54.72558292092608,-101.97803951963124,311.58169523767253,-766174.939,-3611375.393,5184056.206,ROBOT,"IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",CDDIS,40135M001,INTERNAL,Natural Resources Canada,1
FLRS00PRT,PT,TRIMBLE ALLOY,TRM159900.00,NONE,GPS+GLO+GAL+BDS+SBAS,39.453833333333336,-31.126388888888886,79.9,4221530.01,-2549242.33,4031397.8,ROBOT,"IGS20, IGS, IGS14, IGS Multi-GNSS, RTS",BKG,31907M001,INTERNAL,Direção-Geral do Território,1
FPRT00UGA,UG,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS,0.6524555555555556,30.29830277777779,1522.2,5507909.86,3218343.595,72160.61,ROBOT,"IGS, IGS Multi-GNSS",National Lands Information Centre (Kampala),33912M001,INTERNAL,Institut National de l'Information Geographique et,1
FRDN00CAN,CA,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL,45.93349717199627,-66.65987952596083,95.94993266272536,1760543.42,-4080069.4,4560178.6,ROBOT,"IGS, RTS, IGS Multi-GNSS",CDDIS,40146M001,INTERNAL,Natural Resources Canada,1
FTNA00WLF,PF,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,-14.307803108333333,-178.12094565833328,84.859,-6178322.4459,-202694.9925,-1566024.4684,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,92902S002,INTERNAL,Centre National d'Etudes Spatiales,1
FUNC00PRT,PT,TRIMBLE ALLOY,TRM159900.00,NONE,GPS+GLO+GAL+BDS+SBAS,32.64794722222222,-16.907616666666666,78.5,5143339.43,-1563412.87,3421191.44,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",BKG,13911S001,INTERNAL,Direção-Geral do Território,1
GAMB00PYF,PF,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-23.130354714444444,-134.96482359388887,80.66,-4147126.8085,-4152222.1446,-2490033.108,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",IGN,92301M003,INTERNAL,Centre National d'Etudes Spatiales,1
GAMG00KOR,KR,SEPT POLARX5TR,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,35.590071321569674,127.91965846632144,927.9503396589224,-3191607.7,4096899.9,3691839.3,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,23910M001,INTERNAL,Centre National d'Etudes Spatiales,1
GANP00SVK,SK,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+SBAS,49.03471388888889,20.32293611111111,746.0,3929181.5,1455236.8,4793653.9,ROBOT,"IGS, IGS14, IGS Multi-GNSS, RTS",BKG,11515M001,INTERNAL,Geodetic and Cartographic Institute Bratislava,1
GCGO00USA,US,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,64.97803647222223,-147.49944680555555,319.1771,-2281623.7799,-1453585.627,5756963.7427,ROBOT,"IGS, RTS, IGS Multi-GNSS",JPL,40408M006,INTERNAL,Jet Propulsion Laboratory,1
GENO00ITA,IT,LEICA GR30,LEIAR20,NONE,GPS+GLO+GAL+BDS+SBAS,44.4194,8.921116666666668,153.5,4507890.272,707618.974,4441603.008,ROBOT,"IGS, IGS Multi-GNSS",ASI,12712M002,INTERNAL,Agenzia Spaziale Italiana,1
